"G1","G2","C","A","Bx","By","Bz","Error_G1","Error_G2","Error_C","Error_A","Error_Bx","Error_By","Error_Bz","MSE","Laser_Power","Laser_Detuning","Temp","PP"
78.61,126.56,2.1646,0.14961,331.41,-65.899,-143.07,1.3296,2.9278,1.8492e-08,1.1131e-07,0.82083,0.81106,0.5979,3.1063e-05,299.090909,-26,98,0.077307
79.299,129.59,2.337,0.17125,331.6,-66.454,-162.2,1.4381,3.2464,2.6777e-08,1.6123e-07,0.90719,0.89589,0.67911,4.5001e-05,324.545455,-26,99,0.085041
79.662,134.97,2.4964,0.18752,332.09,-59.08,-162.55,1.1744,2.8199,2.739e-08,1.7012e-07,0.77448,0.76938,0.60454,4.6305e-05,350,-26,98,0.085728
62.986,76.903,0.39712,0.010859,333.5,-47.476,-50.989,13.476,18.787,6.0676e-10,3.0743e-09,5.2852,5.2581,2.6671,1.0056e-06,70,-22,98,0.04142
68.732,92.279,0.56088,0.020662,326.78,-64.248,-51.463,4.676,7.6602,9.236e-10,5.0448e-09,2.1774,2.1716,1.2461,1.5445e-06,95.454545,-22,98,0.048254
73.428,100.04,0.72987,0.034409,327.98,-65.194,-59.017,3.2123,5.3248,1.8655e-09,1.0118e-08,1.562,1.5496,0.92056,3.0752e-06,120.909091,-22,98,0.060744
68.396,94.945,0.89911,0.050568,331.19,-65.03,-70.201,2.5844,4.5155,3.1789e-09,1.7884e-08,1.2689,1.2523,0.74403,5.3667e-06,146.363636,-22,98,0.067353
68.667,99.338,1.074,0.069553,329.63,-64.764,-92.074,2.1465,4.0508,5.2602e-09,3.0593e-08,1.1129,1.1024,0.68436,8.9692e-06,171.818182,-22,99,0.075585
75.402,115.74,1.2485,0.089319,331.83,-66.513,-91.999,1.6296,3.334,7.4759e-09,4.4641e-08,0.9378,0.92465,0.62936,1.2584e-05,197.272727,-22,98,0.082251
74.027,117.65,1.4198,0.11231,331.37,-62.314,-107.18,1.2441,2.7283,9.3413e-09,5.776e-08,0.7491,0.74305,0.52075,1.5955e-05,222.727273,-22,99,0.089753
75.519,124.2,1.5942,0.13586,331.67,-64.687,-118.32,1.0514,2.4347,1.2138e-08,7.662e-08,0.6634,0.65626,0.48317,2.0764e-05,248.181818,-22,98,0.095623
79.762,137.44,1.7679,0.16144,332.62,-64.96,-134.46,0.85108,2.0961,1.4935e-08,9.5515e-08,0.56883,0.5626,0.44702,2.5307e-05,273.636364,-22,98,0.10104
78.868,135.13,1.9259,0.18789,333.23,-61.547,-147.18,0.95589,2.3452,2.2551e-08,1.4329e-07,0.63778,0.63223,0.49839,3.8341e-05,299.090909,-22,98,0.10541
82.753,147.32,2.0788,0.21205,332.27,-66.047,-159.74,0.81367,2.0914,2.5799e-08,1.6491e-07,0.56326,0.55704,0.47108,4.3382e-05,324.545455,-22,98,0.1132
80.276,147.45,2.2256,0.23718,334.3,-61.776,-172.35,0.71448,1.9666,2.9136e-08,1.9295e-07,0.51735,0.51273,0.44547,4.9897e-05,350,-22,98,0.11586
64.539,80.799,0.35717,0.014354,326.86,-57.142,-43.503,6.7272,9.7908,5.5764e-10,2.889e-09,2.7328,2.7671,1.443,9.2759e-07,70,-17,98,0.05595
66.267,88.459,0.50727,0.028356,329.41,-60.68,-41.613,2.9815,4.8732,1.073e-09,5.8912e-09,1.3604,1.3587,0.76248,1.8065e-06,95.454545,-17,99,0.069
70.14,98.843,0.65363,0.045261,329.8,-68.006,-56.56,1.9586,3.4928,2.0012e-09,1.1384e-08,0.98943,0.97328,0.5936,3.3705e-06,120.909091,-17,99,0.076898
76.514,114.96,0.80278,0.065128,329.95,-65.117,-83.082,1.5589,3.0536,3.7319e-09,2.1783e-08,0.87195,0.86304,0.57513,6.2217e-06,146.363636,-17,98,0.090209
75.267,116.8,0.95471,0.088976,332.82,-64.887,-86.209,1.2636,2.6366,5.8299e-09,3.5262e-08,0.73841,0.72904,0.49998,9.8434e-06,171.818182,-17,98,0.10145
76.211,125.5,1.108,0.11373,331.95,-64.437,-105.56,1.0653,2.4621,8.6574e-09,5.4785e-08,0.67225,0.66509,0.48976,1.4763e-05,197.272727,-17,99,0.11549
79.186,133.84,1.2728,0.14345,331.81,-62.815,-115.05,0.84708,2.0209,1.1449e-08,7.2777e-08,0.55186,0.54705,0.42063,1.937e-05,222.727273,-17,98,0.12401
81.286,145.89,1.4264,0.1722,332.74,-65.068,-132.9,0.71911,1.8832,1.5064e-08,9.9169e-08,0.50168,0.4964,0.41533,2.5541e-05,248.181818,-17,98,0.12979
80.078,151.29,1.5794,0.20385,333.16,-66.2,-153.51,0.63601,1.8331,1.9641e-08,1.3504e-07,0.47262,0.46729,0.41614,3.3843e-05,273.636364,-17,98,0.14003
84.537,163.63,1.7261,0.23251,333.51,-65.199,-168.14,0.61087,1.7901,2.5431e-08,1.7218e-07,0.45998,0.45541,0.42932,4.3e-05,299.090909,-17,99,0.145
85.825,169.35,1.8585,0.26304,334.01,-64.039,-178.53,0.57889,1.7404,3.1517e-08,2.1375e-07,0.443,0.43892,0.42838,5.3091e-05,324.545455,-17,98,0.15156
85.366,171.8,1.9897,0.29118,333.73,-60.977,-191.17,0.54403,1.698,3.7018e-08,2.5407e-07,0.42662,0.42332,0.42494,6.2716e-05,350,-17,98,0.15943
64.242,84.179,0.3145,0.021665,329.1,-62.997,-55.474,4.2352,6.7226,8.5011e-10,4.6071e-09,1.8572,1.8494,1.0175,1.4347e-06,70,-13,98,0.085735
79.006,111.7,0.44444,0.041485,328.26,-66.026,-61.833,1.7895,3.1075,1.6416e-09,8.991e-09,0.92655,0.91744,0.57898,2.6699e-06,95.454545,-13,98,0.10497
80.218,121.73,0.57743,0.06583,328.95,-68.861,-68.912,1.2066,2.3637,3.0453e-09,1.7688e-08,0.68404,0.67477,0.46234,5.0079e-06,120.909091,-13,98,0.124
82.797,133.61,0.7022,0.092497,329.99,-65.921,-84.606,0.93297,2.013,5.0431e-09,3.045e-08,0.5701,0.5642,0.41689,8.3067e-06,146.363636,-13,98,0.13957
86.225,145,0.83115,0.12123,330.48,-67.799,-98.776,0.80047,1.8225,7.8537e-09,4.8049e-08,0.50999,0.50409,0.3973,1.2833e-05,171.818182,-13,99,0.1554
88.952,159.6,0.97224,0.15534,331.29,-66.329,-117.66,0.64453,1.6137,1.1162e-08,7.0579e-08,0.43746,0.43306,0.37333,1.8205e-05,197.272727,-13,98,0.17224
89.578,166.1,1.1044,0.1895,331.6,-65.57,-135.36,0.57931,1.5285,1.5444e-08,9.925e-08,0.40657,0.40272,0.36405,2.5247e-05,222.727273,-13,99,0.18615
92.692,179.6,1.2445,0.22696,331.86,-65.397,-145.43,0.50465,1.4048,2.0146e-08,1.3087e-07,0.36431,0.36104,0.35036,3.2604e-05,248.181818,-13,98,0.19944
94.28,190.98,1.3837,0.26543,331.99,-66.059,-169.93,0.46921,1.3935,2.668e-08,1.753e-07,0.35076,0.34766,0.36385,4.3058e-05,273.636364,-13,98,0.20632
96.494,203.27,1.5094,0.3015,332.58,-68.213,-185.2,0.45685,1.4263,3.4612e-08,2.2853e-07,0.34884,0.34565,0.38827,5.5402e-05,299.090909,-13,98,0.21546
99.001,213.42,1.6282,0.33591,333.12,-67.344,-195.95,0.42831,1.3664,4.098e-08,2.6816e-07,0.32806,0.32522,0.38418,6.4767e-05,324.545455,-13,98,0.22007
