"G1","G2","C","A","Bx","By","Bz","Error_G1","Error_G2","Error_C","Error_A","Error_Bx","Error_By","Error_Bz","MSE","Laser_Power","Laser_Detuning","Temp","PP"
241.11,258.78,2.5252,2.7091,328.21,-75.971,341.92,6.0655,3.7132,2.0673e-05,3.9198e-05,1.4419,1.4187,1.2909,0.016137,782.070276,6.04014,96.4708,0.88215
197.16,300.15,1.9568,3.3015,327.53,-76.591,350.73,2.3734,2.8361,1.5565e-05,3.9432e-05,0.81,0.79913,1.0831,0.014278,782.070211,3.780295,96.475225,1.5177
114.98,235.52,1.5497,2.6111,327.29,-75.534,279.55,0.78263,2.1347,4.3494e-06,2.2977e-05,0.5318,0.52655,0.68649,0.0062472,608.772892,3.629909,97.394775,1.7944
196.95,302.71,1.9486,3.3114,326.99,-76.063,349.5,2.3149,2.8056,1.5343e-05,3.9037e-05,0.79239,0.78168,1.0736,0.014071,788.599127,3.456745,97.8267,1.42
109.72,193.72,2.2991,2.216,328.57,-75.778,279.66,1.0023,2.2424,3.6119e-06,1.7894e-05,0.63536,0.62784,0.65165,0.0052903,611.609482,7.741168,98.17535,0.99063
113.86,243.22,1.4258,2.6641,327.83,-76.894,280.8,0.68012,1.9905,4.0517e-06,2.2128e-05,0.4777,0.47308,0.65165,0.0058655,602.680511,2.810578,98.3374,1.9481
193.4,298.74,2.0026,3.2438,325.72,-76.25,350.49,2.1799,2.703,1.3996e-05,3.642e-05,0.767,0.75658,1.0325,0.013084,782.070271,3.780295,98.343775,1.3492
196.24,297.01,2.0269,3.2252,326.21,-76.978,347.98,2.2961,2.7292,1.4336e-05,3.6558e-05,0.78726,0.77654,1.0342,0.01324,782.070272,3.780295,98.35805,1.3579
116.94,212.28,2.2439,2.5069,328.57,-76.835,296.58,0.96558,2.1769,4.5545e-06,2.1653e-05,0.60317,0.59646,0.67678,0.0064298,649.955818,6.889314,98.36645,1.1582
115.36,231.94,1.7007,2.5896,326.99,-76.147,282.53,0.79306,2.1003,4.2821e-06,2.2248e-05,0.5321,0.52673,0.6727,0.0061336,610.666337,4.378345,98.51975,1.607
236.75,284.56,2.2079,3.0631,327.06,-75.943,347.82,4.5934,3.3574,2.1454e-05,4.2234e-05,1.1534,1.1351,1.2244,0.016778,796.054775,4.355107,98.59225,1.0933
234.93,284.12,2.2437,3.0209,327.07,-75.957,348.92,4.53,3.3643,2.0713e-05,4.1141e-05,1.1522,1.1341,1.2289,0.016322,794.671574,4.435085,98.596825,1.0696
191.97,298.89,1.9787,3.2741,325.73,-75.958,350.09,2.147,2.7087,1.4137e-05,3.7188e-05,0.76431,0.75397,1.0351,0.013302,782.07021,3.780295,98.611825,1.3669
110.95,201.49,2.1869,2.3226,327.34,-76.771,284.67,0.96763,2.2505,3.92e-06,1.9587e-05,0.62381,0.61662,0.67174,0.0057205,617.024061,7.273936,98.71575,1.0918
180.8,328.92,1.7097,3.5221,326.73,-75.57,355.96,1.3346,2.2207,1.1234e-05,3.2773e-05,0.53352,0.52689,0.89896,0.01096,787.113673,2.103971,98.772725,1.739
129.94,321.19,1.1944,3.1085,327.37,-76.238,306.88,0.50282,1.6759,4.2649e-06,2.1358e-05,0.32888,0.32598,0.64076,0.0055305,664.742147,0,98.882475,2.6032
243.3,277.31,2.3681,2.8811,325.55,-77.046,348.27,5.2761,3.4986,2.0986e-05,3.9802e-05,1.2628,1.242,1.2607,0.016088,793.82913,5.304423,98.88605,0.96383
242.11,251.97,2.6496,2.562,326.3,-76.076,344.68,6.343,3.7105,1.8972e-05,3.5572e-05,1.4905,1.4657,1.28,0.014824,782.420529,6.973763,99.023,0.81976
288.51,254.37,2.7517,2.4509,326.47,-75.763,343.73,10.082,4.0185,2.373e-05,3.6764e-05,1.7913,1.7577,1.3732,0.015664,798.813699,7.142255,99.092825,0.70475
