"G1","G2","C","A","Bx","By","Bz","Error_G1","Error_G2","Error_C","Error_A","Error_Bx","Error_By","Error_Bz","MSE","Laser_Power","Laser_Detuning","Temp","PP"
55.464,177.39,0.72132,1.6181,344.63,-69.191,229.35,0.82271,6.906,2.5301e-06,3.2117e-05,1.1987,1.1743,1.7907,0.0055273,583.349715,5.491022,115.701975,2.2554
52.888,131.54,0.70109,0.69531,336.91,-66.612,142.09,2.3323,12.718,9.8334e-07,1.0562e-05,2.4806,2.4261,2.5185,0.0020687,387.066525,7.388035,116.531325,1.0675
77.878,210.95,1.1255,2.5496,347.3,-71.707,281.81,0.90826,4.9053,6.1847e-06,5.3314e-05,0.99033,0.9793,1.5057,0.011357,785.684911,6.182552,116.803725,2.3441
61.121,189.45,1.0145,1.9572,346.17,-68.95,261.46,0.96452,7.374,4.2972e-06,4.9007e-05,1.3283,1.308,2.074,0.0089874,702.46223,7.217776,117.2513,1.9426
77.108,206.09,1.1704,2.4184,345.43,-71.068,270.38,1.0048,5.3299,6.0763e-06,5.2738e-05,1.087,1.0743,1.5911,0.011206,777.101333,6.527733,117.5693,2.1944
53.99,194.52,0.83562,2.016,345.2,-69.417,266.15,0.72367,7.5699,3.8761e-06,5.3823e-05,1.2117,1.1884,2.1783,0.0087194,703.046546,6.348023,118.066425,2.7726
35.496,208.68,0.47047,1.8251,351.18,-68.926,278.1,0.27752,8.1216,1.8251e-06,4.8091e-05,0.87009,0.84852,2.4846,0.0051251,650.760364,3.187209,119.0075,3.4813
39.73,162.91,0.59553,1.208,342.17,-67.32,210.56,0.86241,12.756,1.7453e-06,3.3031e-05,1.7569,1.7,3.001,0.0044501,557.433647,5.917243,119.26405,2.4551
38.88,159.58,0.58627,1.0918,339.2,-66.811,211.39,0.8984,13.419,1.4744e-06,2.8138e-05,1.8311,1.774,3.1068,0.0037826,535.150579,6.098701,119.648375,2.1466
28.059,181.21,0.42706,1.3281,345.76,-68.331,235.45,0.31625,11.949,1.1299e-06,3.7327e-05,1.1463,1.0834,3.0413,0.0034475,596.393498,4.097239,120.71815,3.3064
41.884,231.29,0.54258,2.4237,350.78,-69.129,302.51,0.29613,7.2231,3.301e-06,7.3646e-05,0.82453,0.80994,2.472,0.0086672,761.310725,3.816408,120.814075,4.2703
36.777,151.57,0.61098,0.6535,322.26,-67.908,206.3,1.7641,26.807,1.0112e-06,1.997e-05,3.4019,3.4664,5.9365,0.0026341,496.322459,8.275599,122.249325,1.4226
98.452,232.13,0.3508,0.073898,308.39,-54.368,-10.109,22.916,82.233,1.098e-07,8.2569e-07,18.093,18.034,21.927,0.00017615,356.561628,8.564157,125.9668,0.33933
